ID,species_code,family,genus,species,scientific_name,Native,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
310,walman,Juglandaceae,Walnut/Butternut,Manchrurian Walnut,Juglans mandshurica,No,10,species,Deciduous,Eastern Asia,T,,
258,walspp,Juglandaceae,Walnut/Butternut,Walnut/Butternut species,Juglans spp,N/A,90,genus,Deciduous,,,,0.91
316,wilarc,Salicaceae,Willow,Arctic Willow,Salix purpurea,No,,species,Deciduous,North America,T,,
260,wilbay,Salicaceae,Willow,Bay (leaved) Willow,Salix laurifolia,No,,species,Deciduous,,T,0.35,0.79
315,wilbeb,Salicaceae,Willow,Bebb's Willow,Salix bebbiana,Yes,,species,Deciduous,North America,T,,
261,wilbla,Salicaceae,Willow,Black Willow,Salix nigra,Yes,,species,Deciduous,,T,0.47,0.79
262,wilcor,Salicaceae,Willow,Corkscrew Willow,Salix matsudana,No,100,species,Deciduous,North Asia,T,0.54,0.79
263,wilcra,Salicaceae,Willow,Crack Willow,Salix fragilis,No,,species,Deciduous,,T,0.35,0.79
317,wilfal,Salicaceae,Willow,False mountain willow,Salix pseudomonticola,Yes,100,species,Deciduous,North America,T,,
264,wilgoa,Salicaceae,Willow,Goat Willow,Salix caprea,No,,species,Deciduous,,T,0.45,0.79
265,wilpea,Salicaceae,Willow,Peach Leaf Willow,Salix amygdaloides,No,,species,Deciduous,,T,0.35,0.79
266,wilpus,Salicaceae,Willow,Pussy Willow,Salix discolor,Yes,,species,Deciduous,"Across Canada's provinces, North-Eastern US",T,0.4,0.79
267,wilshi,Salicaceae,Willow,Shining Willow,Salix lucida,Yes,5,species,Deciduous,,T,0.35,0.79
269,wilspp,Salicaceae,Willow,Willow species,Salix spp,N/A,,genus,Deciduous,,,,0.79
270,wilwee,Salicaceae,Willow,Golden Weeping Willow,Salix babylonica,No,,species,Deciduous,,T,0.35,0.79
271,wilwhi,Salicaceae,Willow,White Willow,Salix alba,No,100,species,Deciduous,Europe,T,0.45,0.79
272,wingnu,Juglandaceae,Wingnut,Wingnut,Pterocarya fraxinifolia,No,100,species,Deciduous,,T,0.6,0.79
108,hazwit,Hamamelidaceae,Witch hazel,Witch hazel,Hamamelis virginiana,Yes,,species,Deciduous,North America,T,0.7,0.79
274,yellow,Fabaceae,Yellowood,American Yellowood,Cladrastis lutea,No,15,species,Deciduous,,T,0.7,0.79
275,yewcom,Taxaceae,Yew,Common Yew,Taxus canadensis,Yes,25,species,Evergreen,,T,0.7,0.79
276,yeweur,Taxaceae,Yew,European Yew,Taxus baccata,No,25,species,Evergreen,,T,0.6,0.79
277,yewjap,Taxaceae,Yew,Upright Japanese Yew,Taxus cuspidata,No,25,species,Evergreen,Japan,T,0.71,0.79
278,yewspp,Taxaceae,Yew,Yew species,Yew spp,N/A,,genus,Evergreen,,,,0.79
309,zeljap,Ulmaceae,Zelkova,Japanese zelkova,Zelkova serrata,No,,species,Deciduous,Asia,T,,
