ID,species_code,family,genus,species,scientific_name,Native,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
20,beeblu,Betulaceae,Ironwood-Hornbeam,Blue Beech,Carpinus caroliniana,Yes,90,species,Deciduous,Eastern U.S.A.,T,0.7,0.79
120,horeur,Betulaceae,Ironwood-Hornbeam,European Hornbeam,Carpinus betulus,No,,species,Deciduous,"Europe, Asia Minor, Southeast of England",T,0.7,0.79
122,horspp,Betulaceae,Ironwood-Hornbeam,Hornbeam Species,Carpinus spp,N/A,,genus,Deciduous,,T,,
43,cedred,Cupressaceae,Juniper,Red Cedar,Juniperus virginiana,Yes,,species,Evergreen,South-Eastern Ontario,T,0.6,0.79
125,junchi,Cupressaceae,Juniper,Chinese Juniper,Juniperus chinensis,No,,species,Evergreen,China,T,0.6,0.79
301,juncom,Cupressaceae,Juniper,Common juniper,Juniperus communis,No,,species,Evergreen,,T,,
302,juncre,Cupressaceae,Juniper,Creeping Juniper,Juniperus horizontalis,No,70,species,Evergreen,,T,,
126,junsav,Cupressaceae,Juniper,Savin Juniper,Juniperus sabina,No,50,species,Evergreen,,T,0.6,0.79
127,junspp,Cupressaceae,Juniper,Juniper species,Juniper spp,N/A,45,genus,Evergreen,,,,0.79
128,kalopa,Araliaceae,Kalopanax,Kalopanax,Kalopanax pictus,No,,species,Deciduous,"China, Manchuria, and Japan",T,0.7,0.79
129,katsur,Cercidiphyllaceae,Katsura,Katsura Tree,Cercidiphyllum japonicum,No,30,species,Deciduous,"China, Japan",T,0.73,0.79
97,golcha,Fabaceae,Laburnum,Goldenchain Tree,Laburnum anagyroides,No,30,species,Deciduous,,T,0.65,0.79
130,lareuo,Pinaceae,Larch,Euopean Larch,Larix decidua,No,,species,Deciduous,Europe,T,0.7,0.79
131,larjap,Pinaceae,Larch,Japanese Larch,Larix leptolepis,No,,species,Deciduous,,T,0.7,0.79
132,larspp,Pinaceae,Larch,Larch species,Larix spp,N/A,,genus,Deciduous,,,,0.79
250,tamara,Pinaceae,Larch,Tamarack,Larix laricina,Yes,,species,Deciduous,"Across Canada, North-Eastern US",T,0.7,0.79
133,lilcom,Oleaceae,Lilac,Common Lilac,Syringa vulgaris,No,,species,Deciduous,Southeast Europe,T,0.8,0.79
134,liljap,Oleaceae,Lilac,Japanese Tree Lilac,Syringa reticulata,No,,species,Deciduous,Japan,T,0.81,0.79
135,lilspp,Oleaceae,Lilac,Lilac species,Syringa spp,N/A,,genus,Deciduous,,,,0.79
18,basswo,Tiliaceae,Linden-Basswood,Basswood,Tilia americana,Yes,,species,Deciduous,Eastern North America,T,0.63,0.88
136,linbig,Tiliaceae,Linden-Basswood,Bigleaf Linden,Tilia platyphyllos,No,80,species,Deciduous,Europe,T,0.6,0.88
137,lineur,Tiliaceae,Linden-Basswood,European Linden,Tilia x europaea,No,,species,Deciduous,,T,0.6,0.88
138,linhyb,Tiliaceae,Linden-Basswood,Hybrid Little-Leaf Linden,Tilia x flavescens,No,,species,Deciduous,,T,0.6,0.88
139,linlit,Tiliaceae,Linden-Basswood,Little-Leaf Linden,Tilia cordata,No,10,species,Deciduous,Europe,T,0.7,0.88
140,linsil,Tiliaceae,Linden-Basswood,Silver Linden,Tilia tomentosa,No,20,species,Deciduous,"Southeast Asia, Asia",T,0.6,0.88
141,linspp,Tiliaceae,Linden-Basswood,Linden species,Tilia spp,N/A,,genus,Deciduous,,,,0.88
117,honspp,Caprifoliaceae,Lonicera,Honeysuckle species,Lonicera spp,N/A,,genus,Deciduous,,T,,
318,amumak,Fabaceae,Maakia,Amur Maackia,Maackia amurensis,No,,species,Deciduous,Asia,T,,
66,cucumb,Magnoliaceae,Magnolia,Cucumber Tree,Magnolia acuminata,Yes,,species,Deciduous,North America,T,0.7,0.79
144,magsau,Magnoliaceae,Magnolia,Saucer Magnolia,Magnolia  x  soulangeana,No,60,species,Deciduous,,T,0.7,0.79
145,magspp,Magnoliaceae,Magnolia,Magnolia species,Magnolia spp,N/A,,genus,Deciduous,,,,0.79
146,magsta,Magnoliaceae,Magnolia,Star Magnolia,Magnolia stellata,No,,species,Deciduous,,T,0.7,0.79
147,magumb,Magnoliaceae,Magnolia,Umbrella Magnolia,Magnolia tripetala,No,60,species,Deciduous,Pennsylvania to Alabama and Mississippi,T,0.7,0.79
148,mapamu,Aceraceae,Maple,Amur Maple,Acer ginnala,No,80,species,Deciduous,Eastern Asia,T,0.63,0.91
149,mapbla,Aceraceae,Maple,Black Maple,Acer saccharum ssppnigrum,Yes,,species,Deciduous,,T,0.85,0.86
150,mapfre,Aceraceae,Maple,Freman Maple,Acer x freemanii,Yes,,species,Deciduous,hybrid,T,0.8,0.86
151,maphed,Aceraceae,Maple,Hedge Maple,Acer campestre,No,,species,Deciduous,"Europe, Northern Turkey, Caucasus, Northern Iran",T,0.68,0.86
152,mapjap,Aceraceae,Maple,Japanese Maple,Acer palmatum,No,,species,Deciduous,Eastern Asia,T,0.77,0.86
153,mapman,Aceraceae,Maple,Manitoba Maple,Acer negundo,No,20,species,Deciduous,Naturalized beyond  its natural range.,T,0.38,0.86
154,mapmou,Aceraceae,Maple,Mountain Maple,Acer spicatum,Yes,90,species,Deciduous,"New Foundland South to Northern Georgia, West to East Saskatchewan, Northeast to Minnesota",T,0.65,0.86
155,mapnor,Aceraceae,Maple,Norway Maple,Acer platanoides,No,40,species,Deciduous,Europe,T,0.68,0.88
303,mappap,Aceraceae,Maple,Paperbark Maple,Acer griseum,No,,species,Deciduous,,T,0.65,
156,mapred,Aceraceae,Maple,Red Maple,Acer rubrum,Yes,20,species,Deciduous,South-Eastern US,T,0.65,0.83
157,mapsil,Aceraceae,Maple,Silver Maple,Acer saccharinum,Yes,70,species,Deciduous,North America,T,0.61,0.83
158,mapspp,Aceraceae,Maple,Maple species,Acer spp,N/A,15,genus,Deciduous,,,,0.86
159,mapstr,Aceraceae,Maple,Striped Maple,Acer pensylvanicum,Yes,60,species,Deciduous,"Quebec to Wisconsin, South to Northern Georgia; United States",T,0.4,0.86
160,mapsug,Aceraceae,Maple,Sugar Maple,Acer saccharum,Yes,,species,Deciduous,"Maritime provinces, Southern Ontario and Quebec.",T,0.78,0.84
161,mapsyc,Aceraceae,Maple,Sycamore Maple,Acer pseudoplatanus,No,60,species,Deciduous,Europe to Western Asia,T,0.68,0.86
162,maptat,Aceraceae,Maple,Tatarian Maple,Acer tatricum,No,100,species,Deciduous,,T,0.65,0.86
163,mouame,Rosaceae,Mountin Ash/Whitebeam,American Mountainash,Sorbus americana,Yes,,species,Deciduous,North America,T,0.4,0.79
164,mouchi,Rosaceae,Mountin Ash/Whitebeam,Chinese Mountainash,Sorbus pohuashanensis,No,,species,Deciduous,,T,0.4,0.79
165,moucut,Rosaceae,Mountin Ash/Whitebeam,Cutleaf Mountainash,Sorbus x thuringiaca,No,90,species,Deciduous,,T,0.4,0.79
166,moueur,Rosaceae,Mountin Ash/Whitebeam,European Mountainash,Sorbus aucuparia,No,60,species,Deciduous,Europe,T,0.4,0.79
167,mouhyb,Rosaceae,Mountin Ash/Whitebeam,Finnish Whitebeam,Sorbus x hybrida,No,,species,Deciduous,,T,0.4,0.79
168,moukor,Rosaceae,Mountin Ash/Whitebeam,Korean Mountainash,Sorbus alnifolia,No,40,species,Deciduous,East Asia,T,0.4,0.79
169,mousho,Rosaceae,Mountin Ash/Whitebeam,Showy Mountainash,Sorbus decora,Yes,,species,Deciduous,,T,0.4,0.79
170,mouspp,Rosaceae,Mountin Ash/Whitebeam,Mountin-Ash species,Sorbus spp,N/A,40,genus,Deciduous,,,,0.79
171,mouwhi,Rosaceae,Mountin Ash/Whitebeam,Whitebeam Mountainash,Sorbus aria,No,40,species,Deciduous,,T,0.4,0.79
259,whiswe,Rosaceae,Mountin Ash/Whitebeam,Swedish White Beam,Sorbus intermedia,No,40,species,Deciduous,,T,0.4,0.79
172,mulbla,Moraceae,Mulberry,Black Mulberry,Morus nigra,No,,species,Deciduous,,T,0.8,0.79
173,mulred,Moraceae,Mulberry,Red Mulberry,Morus rubra,Yes,30,species,Deciduous,,T,0.6,0.79
174,mulspp,Moraceae,Mulberry,Mulberry species,Morus spp,N/A,,genus,Deciduous,,,,0.79
175,mulwhi,Moraceae,Mulberry,White Mulberry,Morus alba,No,,species,Deciduous,China,T,0.6,0.79
283,stump,n/a,n/a,stump,stump,N/A,,other,,,,,
177,oakbla,Fagaceae,Oak,Black Oak,Quercus velutina,Yes,40,species,Deciduous,North America,T,0.68,0.79
178,oakbur,Fagaceae,Oak,Bur Oak,Quercus macrocarpa,Yes,,species,Deciduous,North-Eastern US,T,0.76,0.79
179,oakchi,Fagaceae,Oak,Chinkapin Oak,Quercus muehlenbergii,Yes,40,species,Deciduous,North America,T,0.7,0.79
180,oakeng,Fagaceae,Oak,English Oak,Quercus robur,No,15,species,Deciduous,Europe,T,0.79,0.81
181,oakgar,Fagaceae,Oak,Garry Oak,Quercus garryana,No,90,species,Deciduous,British Colombia to California; United States,T,0.7,0.79
182,oakhil,Fagaceae,Oak,Hill's Oak,Quercus ellipsoidallis,Yes,70,species,Deciduous,,T,0.7,0.79
284,oakmou,Fagaceae,Oak,Mountain Oak/Blue Oak,Quercus douglasii,No,60,species,Deciduous,,T,,
183,oakpin,Fagaceae,Oak,Pin Oak,Quercus palustris,Yes,70,species,Deciduous,North-Eastern US,T,0.69,0.77
184,oakred,Fagaceae,Oak,Red Oak,Quercus rubra,Yes,80,species,Deciduous,"Great Lake, St. Lawrence, Carolinian, North-Eastern US",T,0.81,0.81
185,oaksca,Fagaceae,Oak,Scarlet Oak,Quercus coccinea,No,,species,Deciduous,North America,T,0.6,0.79
186,oakshi,Fagaceae,Oak,Shingle Oak,Quercus imbricaria,No,,species,Deciduous,North America,T,0.7,0.79
187,oakshu,Fagaceae,Oak,Shumard Oak,Quercus shumardii,Yes,60,species,Deciduous,North America,T,0.7,0.79
188,oakspp,Fagaceae,Oak,Oak species,Quercus spp,N/A,90,genus,Deciduous,,,,0.79
189,oakswa,Fagaceae,Oak,Swamp White Oak,Quercus bicolor,Yes,70,species,Deciduous,North America,T,0.7,0.79
190,oakwhi,Fagaceae,Oak,White Oak,Quercus alba,Yes,60,species,Deciduous,North-Eastern US,T,0.79,0.75
192,oraosa,Moraceae,Osage,Osage Orange,Maclura pomifera,No,60,species,Deciduous,North America,T,0.5,0.79
308,paulon,Paulowniaceae,Paulonia,Paulonia / Princcess Tree,Paulownia tomentosa,No,,species,Deciduous,,T,,
193,pawpaw,Annonaceae,Pawpaw,Pawpaw,Asminia triloba,Yes,90,species,Deciduous,,T,0.7,0.79
281,peachs,Rosaceae,Peach,peach,Prunus persica,No,100,species,Deciduous,,T,,
194,peacom,Rosaceae,Pear/Flowering Pear,Common Pear,Pyrus communis,No,50,species,Deciduous,,T,0.5,0.8
195,peaflo,Rosaceae,Pear/Flowering Pear,Flowering Pear,Pyrus calleryana,No,,species,Deciduous,,T,0.74,0.8
196,peahar,Rosaceae,Pear/Flowering Pear,Harbin Pear,Pyrus ussuriensis,No,,species,Deciduous,Northeast Asia,T,0.5,0.8
197,peapea,Rosaceae,Pear/Flowering Pear,Pear/Flowering Pear species,Pyrus spp,N/A,,species,Deciduous,,T,0.5,0.8
198,peawee,Fabaceae,Peashrub,Weeping Peashrub,Caragana arborescens,No,,species,Deciduous,"Siberia, Manchuria",T,0.6,0.79
199,persim,Ebenaceae,Persimmon,Persimmon,Diospyros virginiana,No,30,species,Deciduous,North America,T,0.7,0.79
61,coramu,Rutaceae,Phellodendron,Amur Corktree,Phellodendron amurense,No,,species,Deciduous,"China, Japan",T,0.71,0.79
200,pinaus,Pinaceae,Pine,Austrian Pine,Pinus nigra,No,50,species,Evergreen,Southern Europe,T,0.63,0.79
201,pinbri,Pinaceae,Pine,Bristlecone Pine,Pinus aristata,No,30,species,Evergreen,"Mountains, California to Colorado; United States",T,0.6,0.79
305,pinhim,Pinaceae,Pine,Himalayan Pine,Pinus wallichiana,No,30,species,Evergreen,,T,,
202,pinjac,Pinaceae,Pine,Jack Pine,Pinus banksiana,Yes,,species,Evergreen,North America: Nova Scotia to New York and Minnesota; United States,T,0.53,0.79
306,pinlob,Pinaceae,Pine,Loblolly Pine,Pinus taeda,No,50,species,Evergreen,,T,,
203,pinmug,Pinaceae,Pine,Mugo Pine,Pinus mugo,No,,species,Evergreen,Europe,T,0.6,0.79
204,pinpit,Pinaceae,Pine,Pitch Pine,Pinus rigida,Yes,,species,Evergreen,North Amerika: New Brunswick to Kentucky and California,T,0.6,0.79
205,pinpon,Pinaceae,Pine,Ponderosa Pine,Pinus ponderosa,No,30,species,Evergreen,North America,T,0.6,0.79
206,pinred,Pinaceae,Pine,Red Pine,Pinus resinosa,Yes,,species,Evergreen,New Foundland to Pennsylvania and Minnesota; United States,T,0.7,0.79
208,pinsco,Pinaceae,Pine,Scot's Pine,Pinus sylvestris,No,15,species,Evergreen,Eurasia,T,0.53,0.79
209,pinspp,Pinaceae,Pine,Pine species,Pinus spp,N/A,30,genus,Evergreen,,,,0.79
311,pinwes,Pinaceae,Pine,Western White Pine,Pinus monticola,No,80,species,Evergreen,Pacific Northwest,T,,0.79
210,pinwhi,Pinaceae,Pine,White Pine,Pinus strobus,Yes,75,species,Evergreen,"South-Eastern Canada, North-Eastern US",T,0.75,0.79
211,plalon,Platanaceae,Plane-Sycamore,London Plane,Platanus x acerifolia,No,50,species,Deciduous,,T,0.68,0.86
213,plaspp,Platanaceae,Plane-Sycamore,Plane-Sycamore species,Platanus spp,N/A,,genus,Deciduous,,,,0.86
249,sycame,Platanaceae,Plane-Sycamore,Sycamore,Platanus occidentalis,Yes,100,species,Deciduous,North America,T,0.69,0.86
